International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.eia.gov/beta/international/data/browser/#?ord=CR&cy=2014&v=H&vo=0&so=0&io=0&start=1980&end=2014&vs=INTL.44-1-AFRC-QBTU.A~INTL.44-1-ASOC-QBTU.A~INTL.44-1-CSAM-QBTU.A~INTL.44-1-EURA-QBTU.A~INTL.44-1-EURO-QBTU.A~INTL.44-1-MIDE-QBTU.A~INTL.44-1-NOAM-QBTU.A~INTL.44-1-WORL-QBTU.A&c=4100000002000060000000000000g000200000000000000001&pa=rjugfvg000000000000000000000000000vg018001&f=A&ug=g&ct=1&tl_type=a&tl_id=1-A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 20 2016 08:13:38 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,1000 bbl/d,4703,4953,5047,5296,5673,6121,6526,7021,7117,7004,7313,7218,6928,6685,7026,7243,7296,7271,7510,7726,7892,8064,8004,8120,8408
,"Crude Oil, NGPL, and Other Liquids",1000 bbl/d,4651,4905,4987,5220,5581,6039,6434,6923,7012,6897,7197,7112,6818,6564,6899,7115,7166,7150,7400,7609,7765,7940,7884,8008,8296
,Crude Oil including Lease Condensate,1000 bbl/d,4318,4535,4621,4817,5059,5481,5848,6326,6435,6293,6598,6475,6157,5911,6169,6315,6355,6293,6398,6576,6658,6889,6839,6870,7119
,NGPL,1000 bbl/d,189,197,203,240,262,268,273,255,263,291,303,333,339,333,373,440,417,433,476,501,524,530,511,532,529
,Other Liquids,1000 bbl/d,142,171,162,163,261,290,313,342,313,314,295,305,322,320,358,360,394,424,527,532,583,521,534,606,645
,Refinery Processing Gain,1000 bbl/d,52,48,60,76,91,82,92,98,105,107,116,106,111,120,127,128,130,121,110,117,127,125,120,112,112
,Refined Petroleum Products,1000 bbl/d,4732,4759,4879,5046,5150,5153,5367,5557,5618,5710,5967,6231,6044,5946,6248,6390,6338,6142,6115,6265,6312,6340,6040,NA,
,Motor Gasoline,1000 bbl/d,953,934,1056,1221,1298,1233,1346,1406,1434,1374,1587,1398,1305,1286,1353,1470,1371,1361,1341,1361,1278,1296,1190,NA,
,Jet Fuel,1000 bbl/d,188,205,199,201,224,211,249,255,227,250,380,354,347,325,353,370,373,315,315,328,317,322,294,NA,
,Kerosene,1000 bbl/d,132,128,136,123,122,123,121,119,116,112,49,47,42,40,31,31,23,21,20,20,19,14,14,NA,
,Distillate Fuel Oil,1000 bbl/d,1183,1237,1276,1290,1342,1310,1359,1408,1466,1501,1660,1668,1608,1664,1822,1847,1833,1718,1768,1774,1700,1761,1711,NA,
