,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Martinique,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,7292,9808,10274,11359,11470,12381,11382,12505,12506,12108,10581,10893,11855,12662,13794,12599,11627,14146,17374,16707,16994
Micronesia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,NA
Moldova,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
Total Primary Coal,1000 ST,197,122,35,40,53,8.8,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,
Production,,,,,,,,,,,,,,,,,,,,,,
